molecule_chembl_id,canonical_smiles,standard_value,pIC50,MW,LogP,HBD,HBA,TPSA,RotB,Label
CHEMBL471375,Cn1cc(/C=C2\C(=O)Nc3ccccc32)c2ccccc21,100000.0,4.0,274.32300000000004,3.671000000000002,1,2,34.03,1,0
CHEMBL471375,Cn1cc(/C=C2\C(=O)Nc3ccccc32)c2ccccc21,82700.0,4.082494490447453,274.32300000000004,3.671000000000002,1,2,34.03,1,0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1000.0,6.0,466.5410000000003,4.354000000000003,2,6,69.45,2,1
CHEMBL361708,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1,7000.0,5.154901959985743,324.138,0.06629999999999997,4,4,112.36999999999998,0,0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,37.0,7.431798275933005,466.5410000000003,4.354000000000003,2,6,69.45,2,1
CHEMBL361708,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1,150.0,6.823908740944319,324.138,0.06629999999999997,4,4,112.36999999999998,0,1
CHEMBL1642655,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,14.0,7.853871964321762,359.43300000000005,4.0698000000000025,1,5,64.22,3,1
CHEMBL1642656,CC(C)(C)c1ccc(C(=O)Nc2cn3c(ccc4ccccc43)n2)cc1,15.0,7.823908740944319,343.43000000000006,5.037300000000004,1,3,46.400000000000006,2,1
CHEMBL1642657,CC(C)(C(=O)O)c1ccc(C(=O)Nc2cn3cc(-c4ccsc4)ccc3n2)cc1,19.0,7.721246399047171,405.47900000000004,4.6773000000000025,2,5,83.69999999999999,5,1
CHEMBL1172777,CSc1nc(N)nc2[nH]cnc12,13300.0,4.876148359032914,181.22400000000002,0.657,2,5,80.48,1,0
CHEMBL1410917,CCCN(CCC)c1[nH]cnc2ncnc1-2,25800.0,4.58838029403677,219.292,1.9308999999999998,1,4,57.7,5,0
CHEMBL269881,Nc1nc(OCC2CCCCC2)c2nc[nH]c2n1,25100.0,4.600326278518962,247.30199999999996,1.8941999999999999,2,5,89.71,3,0
CHEMBL1642669,COc1ccc(OC)c(Nc2nc(N)nc3[nH]cnc23)c1,18900.0,4.723538195826756,286.295,1.6958999999999997,3,7,110.97000000000001,4,0
CHEMBL264666,c1nc(N2CCCCC2)c2nc[nH]c2n1,17000.0,4.769551078621726,203.24900000000002,1.3431999999999997,1,4,57.7,1,0
CHEMBL1688215,Nc1nccc(-c2ccc3c(N)n[nH]c3c2)n1,5690.0,5.244887733604929,226.243,1.1842999999999997,3,5,106.49999999999999,1,0
CHEMBL1765740,CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)NC3CCCCC3)CC[C@H]2C)n1,27542.0,4.560004526046192,462.6020000000004,3.697600000000002,4,7,124.85000000000001,5,0
CHEMBL1345690,CCOC(=O)c1c(O)nc2cccc3c2c1-c1ccccc1C3=O,3000.0,5.522878745280337,319.31600000000003,3.328500000000002,1,5,76.49000000000001,2,0
CHEMBL1767077,CNc1c2c3c(cccc3n(C)c1=O)C(=O)c1ccccc1-2,4700.0,5.327902142064283,290.322,2.7916000000000007,1,4,51.1,1,0
CHEMBL1767078,CCNc1c2c3c(cccc3n(C)c1=O)C(=O)c1ccccc1-2,10000.0,5.0,304.349,3.181700000000002,1,4,51.1,2,0
CHEMBL1529134,CC(=O)c1c(O)nc2cccc3c2c1-c1ccccc1C3=O,15000.0,4.823908740944319,289.2900000000001,3.354400000000002,1,4,67.25999999999999,1,0
CHEMBL1767070,Cn1c(=O)c(NCCO)c2c3c(cccc31)C(=O)c1ccccc1-2,25000.0,4.6020599913279625,320.34800000000007,2.1541000000000006,2,5,71.33000000000001,3,0
CHEMBL1767071,Cn1c(=O)c(C(=O)c2ccccc2)c2c3c(cccc31)C(=O)c1ccccc1-2,35000.0,4.455931955649724,365.38800000000015,3.9809000000000028,0,4,56.14,2,0
CHEMBL1767072,CC(=O)c1c2c3c(ccc(C)c3[nH]c1=O)C(=O)c1ccccc1-2,35000.0,4.455931955649724,303.317,3.2505200000000007,1,3,67.0,1,0
CHEMBL1916359,[O-][n+]1ccc2c(-c3ccc(F)cc3Cl)ccnc2c1-c1c(Cl)cccc1Cl,10000.0,5.0,419.6700000000002,6.301500000000003,0,2,39.83,2,0
CHEMBL1614725,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,10000.0,5.0,547.9650000000001,5.916600000000003,3,7,101.30000000000001,9,0
CHEMBL1929238,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,30000.0,4.522878745280337,554.5440000000001,5.232500000000004,2,5,84.99000000000001,6,0
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,30000.0,4.522878745280337,527.6690000000006,5.986420000000005,2,6,80.65,7,0
CHEMBL1957085,COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)cc1,10000.0,5.0,309.325,2.675200000000001,1,5,77.25,5,0
CHEMBL2048912,CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,10000.0,5.0,522.0340000000002,5.083800000000003,3,9,119.98,8,0
CHEMBL2148053,CC(C)(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21)S(C)(=O)=O.Cc1ccc(S(=O)(=O)O)cc1,10000.0,5.0,734.6840000000002,6.455120000000006,3,10,169.57999999999998,10,0
CHEMBL2205766,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,10000.0,5.0,346.4160000000001,1.4502999999999997,2,7,115.27,3,0
CHEMBL2205636,CC(C)(O)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,70.0,7.154901959985743,361.4050000000001,2.9997000000000016,2,6,84.45,4,1
CHEMBL2205635,CC(C)(CO)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,32.0,7.494850021680094,375.4320000000001,3.042200000000001,2,6,84.45,5,1
CHEMBL1642655,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,14.0,7.853871964321762,359.43300000000005,4.0698000000000025,1,5,64.22,3,1
